TIME_STEP,AGE_GROUP,SEX,NET_IMMIGRATION
2045-2049,70-74,FEMALE,-1593
2095-2099,40-44,MALE,15509
2085-2089,30-34,FEMALE,19328
2095-2099,75-79,FEMALE,-3754
2050-2054,25-29,FEMALE,15549
2030-2034,15-19,MALE,10210
2085-2089,15-19,MALE,14690
2065-2069,75-79,MALE,-3656
2060-2064,70-74,FEMALE,-2639
2030-2034,30-34,FEMALE,14470
2060-2064,60-64,FEMALE,-4208
2090-2094,75-79,FEMALE,-3716
2035-2039,65-69,FEMALE,-1922
2090-2094,75-79,MALE,-5294
2035-2039,85+,MALE,500
,55-59,FEMALE,2860
2030-2034,25-29,FEMALE,12534
2045-2049,65-69,MALE,-72
2090-2094,60-64,FEMALE,-4442
2045-2049,40-44,MALE,20288
2080-2084,5-9,MALE,6380
2075-2079,45-49,MALE,7235
2075-2079,65-69,FEMALE,-3920
2035-2039,40-44,FEMALE,10165
2055-2059,10-14,MALE,7504
2060-2064,35-39,FEMALE,17141
2065-2069,65-69,MALE,-1366
2060-2064,85+,MALE,42
2070-2074,0-4,MALE,4841
2050-2054,10-14,MALE,7580
2035-2039,75-79,FEMALE,-848
2045-2049,10-14,FEMALE,5665
2030-2034,50-54,FEMALE,-2847
2025-2029,60-64,MALE,3798
2040-2044,55-59,MALE,2605
2035-2039,75-79,FEMALE,-695
2055-2059,60-64,FEMALE,-3311
2085-2089,75-79,MALE,-4962
2040-2044,85+,FEMALE,327
2070-2074,25-29,FEMALE,16805
2095-2099,20-24,MALE,17823
2075-2079,25-29,MALE,26906
2050-2054,80-84,MALE,-1681
2035-2039,75-79,MALE,-345
2050-2054,35-39,MALE,25915
2065-2069,25-29,MALE,27628
2035-2039,10-14,MALE,6968
2070-2074,55-59,MALE,2172
2065-2069,60-64,MALE,87
2070-2074,75-79,MALE,-4173
2080-2084,55-59,FEMALE,-4152
2022-2024,80-84,FEMALE,990
2040-2044,0-4,MALE,5701
2095-2099,60-64,FEMALE,-4466
2040-2044,35-39,FEMALE,14683
2025-2029,35-39,FEMALE,6878
2035-2039,55-59,MALE,4036
2080-2084,45-49,MALE,4085
2025-2029,30-34,FEMALE,7334
2085-2089,10-14,MALE,8044
2085-2089,55-59,MALE,2499
2090-2094,35-39,FEMALE,16945
2070-2074,35-39,MALE,26517
2030-2034,50-54,MALE,6541
2080-2084,85+,MALE,281
2080-2084,25-29,FEMALE,15872
2045-2049,5-9,MALE,6647
2040-2044,40-44,MALE,14262
2075-2079,85+,MALE,58
2025-2029,50-54,MALE,4183
2045-2049,25-29,MALE,24893
2025-2029,85+,FEMALE,164
2025-2029,5-9,FEMALE,2659
2085-2089,80-84,MALE,-5275
2080-2084,15-19,FEMALE,7618
2060-2064,25-29,MALE,26473
2070-2074,85+,FEMALE,300
2035-2039,55-59,FEMALE,-2184
,50-54,MALE,7690
2055-2059,85+,MALE,42
2070-2074,15-19,MALE,11783
2085-2089,85+,MALE,57
2085-2089,85+,MALE,565
2070-2074,85+,FEMALE,294
2065-2069,20-24,FEMALE,10233
2075-2079,70-74,FEMALE,-4313
2095-2099,75-79,MALE,-5148
2035-2039,20-24,FEMALE,12112
2085-2089,60-64,FEMALE,-4373
2022-2024,0-4,FEMALE,14272
,30-34,MALE,24836
2070-2074,70-74,FEMALE,-3674
2040-2044,35-39,MALE,20811
2045-2049,85+,MALE,42
2055-2059,75-79,MALE,-2327
2050-2054,85+,MALE,21
2035-2039,75-79,MALE,5
2070-2074,75-79,MALE,-4193
2080-2084,85+,FEMALE,331
2055-2059,0-4,MALE,5966
2030-2034,60-64,FEMALE,-606
2050-2054,0-4,FEMALE,4624
2060-2064,35-39,MALE,28334
2085-2089,85+,MALE,278
2045-2049,50-54,MALE,642
2060-2064,20-24,MALE,22605
2070-2074,50-54,FEMALE,-4575
2022-2024,70-74,MALE,3839
2090-2094,35-39,FEMALE,16084
2085-2089,75-79,FEMALE,-3717
2030-2034,5-9,MALE,5599
2085-2089,35-39,MALE,28665
2025-2029,55-59,MALE,4016
2085-2089,70-74,MALE,-4227
2065-2069,75-79,MALE,-4161
2045-2049,5-9,MALE,6863
2025-2029,15-19,FEMALE,2981
2095-2099,0-4,FEMALE,4257
2070-2074,0-4,MALE,8052
2025-2029,80-84,FEMALE,-52
2050-2054,10-14,FEMALE,5767
2075-2079,0-4,FEMALE,4887
2055-2059,0-4,FEMALE,7598
2080-2084,10-14,FEMALE,5926
2080-2084,65-69,MALE,-1932
2080-2084,80-84,MALE,-4908
2025-2029,25-29,FEMALE,6362
2045-2049,35-39,MALE,25170
2070-2074,5-9,MALE,7071
2055-2059,40-44,MALE,13385
2035-2039,85+,FEMALE,301
2080-2084,5-9,MALE,7052
2030-2034,85+,FEMALE,213
2050-2054,85+,FEMALE,197
2045-2049,10-14,MALE,7435
2085-2089,50-54,FEMALE,-4274
2045-2049,85+,MALE,78
2060-2064,80-84,FEMALE,-1271
,55-59,FEMALE,2582
2040-2044,45-49,FEMALE,2006
2055-2059,45-49,FEMALE,-1725
,80-84,FEMALE,524
2065-2069,20-24,MALE,19519
2030-2034,85+,MALE,342
2035-2039,55-59,MALE,5297
2025-2029,40-44,FEMALE,3984
2080-2084,65-69,MALE,-2071
2090-2094,65-69,FEMALE,-4324
2085-2089,35-39,FEMALE,16068
2095-2099,20-24,MALE,22774
2070-2074,5-9,FEMALE,5613
2095-2099,85+,MALE,76
2040-2044,25-29,MALE,24268
2055-2059,10-14,MALE,7685
2040-2044,5-9,FEMALE,5446
2040-2044,70-74,MALE,212
2022-2024,15-19,MALE,24553
2035-2039,5-9,FEMALE,5292
2060-2064,10-14,MALE,7572
2090-2094,35-39,FEMALE,16923
2090-2094,5-9,FEMALE,5105
2090-2094,20-24,FEMALE,14713
2095-2099,40-44,MALE,20793
2045-2049,65-69,FEMALE,-2534
2025-2029,5-9,MALE,1124
2025-2029,60-64,FEMALE,-781
2065-2069,35-39,MALE,27153
2085-2089,80-84,FEMALE,-2128
2040-2044,15-19,FEMALE,7231
2050-2054,45-49,MALE,10724
2050-2054,30-34,MALE,27818
2050-2054,85+,FEMALE,197
2070-2074,40-44,MALE,14705
2060-2064,85+,MALE,-1666
2085-2089,5-9,FEMALE,5414
2095-2099,70-74,MALE,-4205
2040-2044,50-54,FEMALE,-3793
2055-2059,70-74,FEMALE,-2779
2060-2064,85+,FEMALE,300
2055-2059,80-84,FEMALE,-1161
2090-2094,20-24,MALE,21217
2040-2044,20-24,MALE,17486
2050-2054,60-64,FEMALE,-3453
2050-2054,75-79,MALE,-2003
2030-2034,85+,FEMALE,214
2025-2029,55-59,FEMALE,-2086
2025-2029,80-84,FEMALE,-54
2055-2059,40-44,MALE,20921
2075-2079,45-49,MALE,9488
2025-2029,65-69,MALE,3078
2080-2084,5-9,FEMALE,5701
2050-2054,30-34,FEMALE,17495
2040-2044,80-84,MALE,-864
2045-2049,85+,MALE,29
2045-2049,40-44,FEMALE,11034
