"Notes","Five-Year Age Groups","Five-Year Age Groups Code","Sex","Sex Code","State","State Code",Deaths,Population,Crude Rate
,"1-4 years","1-4","Male","M","Maine","23",Suppressed,25703,Suppressed
,"1-4 years","1-4","Male","M","Maryland","24",46,143427,32.1
,"1-4 years","1-4","Male","M","Massachusetts","25",32,140661,22.7
,"1-4 years","1-4","Male","M","Michigan","26",68,219400,31.0
,"1-4 years","1-4","Male","M","Minnesota","27",37,135383,27.3
,"1-4 years","1-4","Male","M","Mississippi","28",23,71176,32.3
,"1-4 years","1-4","Male","M","Missouri","29",57,145486,39.2
,"1-4 years","1-4","Male","M","Montana","30",12,23608,Unreliable
,"1-4 years","1-4","Male","M","Nebraska","31",11,51250,Unreliable
,"1-4 years","1-4","Male","M","Nevada","32",20,70894,28.2
,"1-4 years","1-4","Male","M","New Hampshire","33",Suppressed,25768,Suppressed
,"1-4 years","1-4","Male","M","New Jersey","34",42,213377,19.7
,"1-4 years","1-4","Male","M","New Mexico","35",14,44429,Unreliable
,"1-4 years","1-4","Male","M","New York","36",102,423229,24.1
,"1-4 years","1-4","Male","M","North Carolina","37",83,248065,33.5
,"1-4 years","1-4","Male","M","North Dakota","38",Suppressed,20143,Suppressed
,"1-4 years","1-4","Male","M","Ohio","39",111,270905,41.0
,"1-4 years","1-4","Male","M","Oklahoma","40",41,100422,40.8
,"1-4 years","1-4","Male","M","Oregon","41",22,83410,26.4
,"1-4 years","1-4","Male","M","Pennsylvania","42",61,275332,22.2
,"1-4 years","1-4","Male","M","Rhode Island","44",Suppressed,21273,Suppressed
,"1-4 years","1-4","Male","M","South Carolina","45",40,119285,33.5
,"1-4 years","1-4","Male","M","South Dakota","46",15,23689,Unreliable
,"1-4 years","1-4","Male","M","Tennessee","47",85,167885,50.6
,"1-4 years","1-4","Male","M","Texas","48",244,790160,30.9
,"1-4 years","1-4","Male","M","Utah","49",28,94926,29.5
,"1-4 years","1-4","Male","M","Vermont","50",Suppressed,11368,Suppressed
,"1-4 years","1-4","Male","M","Virginia","51",56,200294,28.0
,"1-4 years","1-4","Male","M","Washington","53",35,173020,20.2
,"1-4 years","1-4","Male","M","West Virginia","54",Suppressed,35994,Suppressed
,"1-4 years","1-4","Male","M","Wisconsin","55",29,127928,22.7
,"1-4 years","1-4","Male","M","Wyoming","56",Suppressed,12866,Suppressed
,"5-9 years","5-9","Female","F","Alabama","01",15,153423,Unreliable
,"5-9 years","5-9","Female","F","Alaska","02",Suppressed,24400,Suppressed
,"5-9 years","5-9","Female","F","Arizona","04",24,213276,11.3
,"5-9 years","5-9","Female","F","Arkansas","05",16,95421,Unreliable
,"5-9 years","5-9","Female","F","California","06",91,1139752,8.0
,"5-9 years","5-9","Female","F","Colorado","08",17,162900,Unreliable
,"5-9 years","5-9","Female","F","Connecticut","09",Suppressed,95733,Suppressed
,"5-9 years","5-9","Female","F","Delaware","10",Suppressed,28428,Suppressed
,"5-9 years","5-9","Female","F","District of Columbia","11",0,18419,Unreliable
,"5-9 years","5-9","Female","F","Florida","12",71,593095,12.0
,"5-9 years","5-9","Female","F","Georgia","13",52,341349,15.2
,"5-9 years","5-9","Female","F","Hawaii","15",Suppressed,40461,Suppressed
,"5-9 years","5-9","Female","F","Idaho","16",Suppressed,63059,Suppressed
,"5-9 years","5-9","Female","F","Illinois","17",49,366629,13.4
,"5-9 years","5-9","Female","F","Indiana","18",24,214098,11.2
,"5-9 years","5-9","Female","F","Iowa","19",Suppressed,98895,Suppressed
,"5-9 years","5-9","Female","F","Kansas","20",16,93309,Unreliable
,"5-9 years","5-9","Female","F","Kentucky","21",20,137369,14.6
,"5-9 years","5-9","Female","F","Louisiana","22",21,146379,14.3
,"5-9 years","5-9","Female","F","Maine","23",Suppressed,33248,Suppressed
,"5-9 years","5-9","Female","F","Maryland","24",20,184809,10.8
,"5-9 years","5-9","Female","F","Massachusetts","25",13,178743,Unreliable
,"5-9 years","5-9","Female","F","Michigan","26",22,286108,7.7
,"5-9 years","5-9","Female","F","Minnesota","27",14,177672,Unreliable
,"5-9 years","5-9","Female","F","Mississippi","28",14,90400,Unreliable
,"5-9 years","5-9","Female","F","Missouri","29",24,185375,12.9
,"5-9 years","5-9","Female","F","Montana","30",Suppressed,32171,Suppressed
,"5-9 years","5-9","Female","F","Nebraska","31",Suppressed,65782,Suppressed
,"5-9 years","5-9","Female","F","Nevada","32",15,92934,Unreliable
,"5-9 years","5-9","Female","F","New Hampshire","33",Suppressed,33153,Suppressed
,"5-9 years","5-9","Female","F","New Jersey","34",21,269677,7.8
,"5-9 years","5-9","Female","F","New Mexico","35",Suppressed,60234,Suppressed
,"5-9 years","5-9","Female","F","New York","36",58,537331,10.8
,"5-9 years","5-9","Female","F","North Carolina","37",52,312567,16.6
,"5-9 years","5-9","Female","F","North Dakota","38",Suppressed,26103,Suppressed
,"5-9 years","5-9","Female","F","Ohio","39",39,350773,11.1
,"5-9 years","5-9","Female","F","Oklahoma","40",26,131539,19.8
,"5-9 years","5-9","Female","F","Oregon","41",10,112070,Unreliable
,"5-9 years","5-9","Female","F","Pennsylvania","42",33,354395,9.3
,"5-9 years","5-9","Female","F","Rhode Island","44",Suppressed,27493,Suppressed
,"5-9 years","5-9","Female","F","South Carolina","45",21,152944,13.7
,"5-9 years","5-9","Female","F","South Dakota","46",Suppressed,30598,Suppressed
,"5-9 years","5-9","Female","F","Tennessee","47",46,211558,21.7
,"5-9 years","5-9","Female","F","Texas","48",104,1033014,10.1
,"5-9 years","5-9","Female","F","Utah","49",15,124331,Unreliable
,"5-9 years","5-9","Female","F","Vermont","50",Suppressed,15342,Suppressed
,"5-9 years","5-9","Female","F","Virginia","51",26,255704,10.2
,"5-9 years","5-9","Female","F","Washington","53",27,224421,12.0
,"5-9 years","5-9","Female","F","West Virginia","54",Suppressed,46922,Suppressed
,"5-9 years","5-9","Female","F","Wisconsin","55",24,166976,14.4
,"5-9 years","5-9","Female","F","Wyoming","56",0,17255,Unreliable
,"5-9 years","5-9","Male","M","Alabama","01",35,159171,22.0
,"5-9 years","5-9","Male","M","Alaska","02",Suppressed,25382,Suppressed
,"5-9 years","5-9","Male","M","Arizona","04",42,222723,18.9
,"5-9 years","5-9","Male","M","Arkansas","05",23,100321,22.9
,"5-9 years","5-9","Male","M","California","06",97,1194377,8.1
,"5-9 years","5-9","Male","M","Colorado","08",19,169512,Unreliable
,"5-9 years","5-9","Male","M","Connecticut","09",Suppressed,99822,Suppressed
,"5-9 years","5-9","Male","M","Delaware","10",Suppressed,29764,Suppressed
,"5-9 years","5-9","Male","M","District of Columbia","11",Suppressed,19074,Suppressed
,"5-9 years","5-9","Male","M","Florida","12",95,620161,15.3
,"5-9 years","5-9","Male","M","Georgia","13",52,354219,14.7
,"5-9 years","5-9","Male","M","Hawaii","15",Suppressed,43814,Suppressed
,"5-9 years","5-9","Male","M","Idaho","16",Suppressed,65848,Suppressed
,"5-9 years","5-9","Male","M","Illinois","17",60,383106,15.7
,"5-9 years","5-9","Male","M","Indiana","18",40,225843,17.7
,"5-9 years","5-9","Male","M","Iowa","19",20,103496,19.3
,"5-9 years","5-9","Male","M","Kansas","20",13,97884,Unreliable
,"5-9 years","5-9","Male","M","Kentucky","21",24,144718,16.6
,"5-9 years","5-9","Male","M","Louisiana","22",39,152079,25.6
,"5-9 years","5-9","Male","M","Maine","23",Suppressed,35055,Suppressed
,"5-9 years","5-9","Male","M","Maryland","24",28,193174,14.5
,"5-9 years","5-9","Male","M","Massachusetts","25",17,186457,Unreliable
,"5-9 years","5-9","Male","M","Michigan","26",49,300432,16.3
,"5-9 years","5-9","Male","M","Minnesota","27",17,185511,Unreliable
,"5-9 years","5-9","Male","M","Mississippi","28",26,92894,28.0
,"5-9 years","5-9","Male","M","Missouri","29",31,195352,15.9
,"5-9 years","5-9","Male","M","Montana","30",Suppressed,33888,Suppressed
,"5-9 years","5-9","Male","M","Nebraska","31",Suppressed,69062,Suppressed
,"5-9 years","5-9","Male","M","Nevada","32",13,97361,Unreliable
,"5-9 years","5-9","Male","M","New Hampshire","33",Suppressed,34631,Suppressed
,"5-9 years","5-9","Male","M","New Jersey","34",26,283351,9.2
,"5-9 years","5-9","Male","M","New Mexico","35",12,62778,Unreliable
,"5-9 years","5-9","Male","M","New York","36",66,562669,11.7
,"5-9 years","5-9","Male","M","North Carolina","37",49,326433,15.0
,"5-9 years","5-9","Male","M","North Dakota","38",Suppressed,27275,Suppressed
,"5-9 years","5-9","Male","M","Ohio","39",66,366319,18.0
,"5-9 years","5-9","Male","M","Oklahoma","40",15,138562,Unreliable
,"5-9 years","5-9","Male","M","Oregon","41",11,118050,Unreliable
,"5-9 years","5-9","Male","M","Pennsylvania","42",49,371947,13.2
,"5-9 years","5-9","Male","M","Rhode Island","44",Suppressed,28856,Suppressed
,"5-9 years","5-9","Male","M","South Carolina","45",31,160200,19.4
,"5-9 years","5-9","Male","M","South Dakota","46",Suppressed,31741,Suppressed
,"5-9 years","5-9","Male","M","Tennessee","47",31,221333,14.0
,"5-9 years","5-9","Male","M","Texas","48",123,1075272,11.4
,"5-9 years","5-9","Male","M","Utah","49",16,130726,Unreliable
,"5-9 years","5-9","Male","M","Vermont","50",0,16306,Unreliable
,"5-9 years","5-9","Male","M","Virginia","51",41,267312,15.3
,"5-9 years","5-9","Male","M","Washington","53",32,237359,13.5
,"5-9 years","5-9","Male","M","West Virginia","54",Suppressed,49163,Suppressed
,"5-9 years","5-9","Male","M","Wisconsin","55",24,175557,13.7
,"5-9 years","5-9","Male","M","Wyoming","56",Suppressed,18380,Suppressed
,"10-14 years","10-14","Female","F","Alabama","01",28,156384,17.9
,"10-14 years","10-14","Female","F","Alaska","02",Suppressed,24483,Suppressed
,"10-14 years","10-14","Female","F","Arizona","04",41,223348,18.4
,"10-14 years","10-14","Female","F","Arkansas","05",13,97218,Unreliable
,"10-14 years","10-14","Female","F","California","06",134,1192145,11.2
,"10-14 years","10-14","Female","F","Colorado","08",25,169798,14.7
,"10-14 years","10-14","Female","F","Connecticut","09",Suppressed,101977,Suppressed
,"10-14 years","10-14","Female","F","Delaware","10",Suppressed,29761,Suppressed
,"10-14 years","10-14","Female","F","District of Columbia","11",Suppressed,16227,Suppressed
,"10-14 years","10-14","Female","F","Florida","12",78,607238,12.8
