"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births,Female Population,Fertility Rate
,"Tennessee","47","15-19 years","15-19",4489,225606,19.9
,"Tennessee","47","20-24 years","20-24",17791,232836,76.4
,"Tennessee","47","25-29 years","25-29",24961,245812,101.5
,"Tennessee","47","30-34 years","30-34",23002,257426,89.4
,"Tennessee","47","35-39 years","35-39",11046,240580,45.9
,"Tennessee","47","40-44 years","40-44",2348,231396,10.1
,"Tennessee","47","45-49 years","45-49",120,Not Available,Not Available
,"Tennessee","47","50 years and over","50+",Suppressed,Not Available,Suppressed
,"Texas","48","Under 15 years","15",243,Not Available,Not Available
,"Texas","48","15-19 years","15-19",20206,1094181,18.5
,"Texas","48","20-24 years","20-24",77586,1071824,72.4
,"Texas","48","25-29 years","25-29",111576,1092157,102.2
,"Texas","48","30-34 years","30-34",110032,1145834,96.0
,"Texas","48","35-39 years","35-39",57340,1111078,51.6
,"Texas","48","40-44 years","40-44",12957,1078727,12.0
,"Texas","48","45-49 years","45-49",804,Not Available,Not Available
,"Texas","48","50 years and over","50+",84,Not Available,Not Available
,"Utah","49","Under 15 years","15",Suppressed,Not Available,Suppressed
,"Utah","49","15-19 years","15-19",1158,141300,8.2
,"Utah","49","20-24 years","20-24",8646,150004,57.6
,"Utah","49","25-29 years","25-29",16479,132270,124.6
,"Utah","49","30-34 years","30-34",13064,124714,104.8
,"Utah","49","35-39 years","35-39",5844,113641,51.4
,"Utah","49","40-44 years","40-44",1384,117154,11.8
,"Utah","49","45-49 years","45-49",71,Not Available,Not Available
,"Utah","49","50 years and over","50+",10,Not Available,Not Available
,"Vermont","50","Under 15 years","15",Suppressed,Not Available,Suppressed
,"Vermont","50","15-19 years","15-19",128,20158,6.3
,"Vermont","50","20-24 years","20-24",661,21593,30.6
,"Vermont","50","25-29 years","25-29",1269,17940,70.7
,"Vermont","50","30-34 years","30-34",1659,20032,82.8
,"Vermont","50","35-39 years","35-39",1060,20382,52.0
,"Vermont","50","40-44 years","40-44",231,20443,11.3
,"Vermont","50","45-49 years","45-49",14,Not Available,Not Available
,"Vermont","50","50 years and over","50+",0,Not Available,Not Available
,"Virginia","51","Under 15 years","15",26,Not Available,Not Available
,"Virginia","51","15-19 years","15-19",2985,279766,10.7
,"Virginia","51","20-24 years","20-24",14185,283226,50.1
,"Virginia","51","25-29 years","25-29",24703,281800,87.7
,"Virginia","51","30-34 years","30-34",29782,303417,98.2
,"Virginia","51","35-39 years","35-39",17848,305203,58.5
,"Virginia","51","40-44 years","40-44",4169,297907,14.0
,"Virginia","51","45-49 years","45-49",316,Not Available,Not Available
,"Virginia","51","50 years and over","50+",40,Not Available,Not Available
,"Washington","53","Under 15 years","15",23,Not Available,Not Available
,"Washington","53","15-19 years","15-19",2163,233078,9.3
,"Washington","53","20-24 years","20-24",11984,236942,50.6
,"Washington","53","25-29 years","25-29",21527,275748,78.1
,"Washington","53","30-34 years","30-34",27347,309363,88.4
,"Washington","53","35-39 years","35-39",16189,293270,55.2
,"Washington","53","40-44 years","40-44",3605,272909,13.2
,"Washington","53","45-49 years","45-49",251,Not Available,Not Available
,"Washington","53","50 years and over","50+",29,Not Available,Not Available
,"West Virginia","54","Under 15 years","15",11,Not Available,Not Available
,"West Virginia","54","15-19 years","15-19",939,52731,17.8
,"West Virginia","54","20-24 years","20-24",4302,54188,79.4
,"West Virginia","54","25-29 years","25-29",5543,50193,110.4
,"West Virginia","54","30-34 years","30-34",4125,53582,77.0
,"West Virginia","54","35-39 years","35-39",1749,50017,35.0
,"West Virginia","54","40-44 years","40-44",336,52934,6.3
,"West Virginia","54","45-49 years","45-49",16,Not Available,Not Available
,"West Virginia","54","50 years and over","50+",Suppressed,Not Available,Suppressed
,"Wisconsin","55","Under 15 years","15",30,Not Available,Not Available
,"Wisconsin","55","15-19 years","15-19",1851,191373,9.7
,"Wisconsin","55","20-24 years","20-24",9001,199088,45.2
,"Wisconsin","55","25-29 years","25-29",17437,181352,96.2
,"Wisconsin","55","30-34 years","30-34",19985,187243,106.7
,"Wisconsin","55","35-39 years","35-39",9380,183054,51.2
,"Wisconsin","55","40-44 years","40-44",1904,187785,10.1
,"Wisconsin","55","45-49 years","45-49",91,Not Available,Not Available
,"Wisconsin","55","50 years and over","50+",Suppressed,Not Available,Suppressed
,"Wyoming","56","Under 15 years","15",Suppressed,Not Available,Suppressed
,"Wyoming","56","15-19 years","15-19",288,19587,14.7
,"Wyoming","56","20-24 years","20-24",1360,18214,74.7
,"Wyoming","56","25-29 years","25-29",1902,16879,112.7
,"Wyoming","56","30-34 years","30-34",1613,18421,87.6
,"Wyoming","56","35-39 years","35-39",762,18664,40.8
,"Wyoming","56","40-44 years","40-44",154,19259,8.0
,"Wyoming","56","45-49 years","45-49",Suppressed,Not Available,Suppressed
,"Wyoming","56","50 years and over","50+",0,Not Available,Not Available
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2024"
"Group By: State of Residence; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Dec 4, 2025 2:42:01 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Dec 4, 2025 2:42:01 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Not Available' appears when the denominator population for a rate measure is not available."
"2. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"3. Each birth record represents one liveborn infant."
"4. Fertility rates are calculated as the number of births divided by the number of females age 15 - 44 years old in the given"
"year(s). When the numerator is sub-set by mother's age, mother's race, mother's hispanicity, location, or year of birth, then"
"the same sub-set for age, race, hispanicity, location and year applies to the denominator population. However, if you sub-set"
"mother's age selecting some years not in the 15 - 44 range, those years of mother's age ouside this range will not be included"
"in the denominator population. If you sub-set mother's age selecting only years outside the 15 - 44 range, then ""Not"
"Available"" is reported for the denominator population."
"5. Birth rates and fertility rates are calculated using the following populations: The populations for year 2024 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 26, 2025. The"
"2024 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. The populations for year 2023 are from the postcensal single race series of July 1st estimates of the resident"
"population, released by Census Bureau on June 27, 2024. The 2023 population estimates are based on the Blended Base produced by"
"the US Census Bureau in lieu of the April 1, 2020 decennial population count. The populations for year 2022 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 22, 2023. The"
"2022 population estimates are based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count. The populations for year 2021 are from the postcensal single race series of July 1st estimates of the resident"
"population, released by Census Bureau on June 30, 2022. The 2021 population estimates are based on the Blended Base produced by"
"the US Census Bureau in lieu of the April 1, 2020 decennial population count. The populations for year 2020 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on July 27, 2021. The"
"populations for year 2019 are from the postcensal single race series of July 1st estimates of the resident population, released"
"by Census Bureau on June 25, 2020; The populations for year 2018 are from the postcensal single race series of July 1st"
"estimates of the resident population, released by Census Bureau on June 21, 2019; The populations for year 2017 are from the"
"postcensal single race series of July 1st estimates of the resident population, released by Census Bureau on June 21, 2018; The"
"populations for year 2016 are from the postcensal single race series of July 1st estimates of the resident population, released"
"by Census Bureau on June 22, 2017. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Denominator-Population-Sources."
