GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
12,5-9,MALE,13.7
12,5-9,FEMALE,11.3
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
13,5-9,MALE,15.9
13,5-9,FEMALE,11.6
