GEOID,AGE_GROUP,SEX,MORTALITY_RATE_100K
17,20-24,FEMALE,47.6
17,20-24,MALE,129.7
18,20-24,FEMALE,64.4
18,20-24,MALE,149.3
19,20-24,FEMALE,45.3
19,20-24,MALE,103.7
20,20-24,FEMALE,60.6
20,20-24,MALE,127.8
21,20-24,FEMALE,68.8
21,20-24,MALE,164.9
22,20-24,FEMALE,74.5
22,20-24,MALE,245.7
23,20-24,FEMALE,31.9
23,20-24,MALE,146.8
24,20-24,FEMALE,49.5
24,20-24,MALE,149.9
25,20-24,FEMALE,28.0
25,20-24,MALE,77.0
26,20-24,FEMALE,49.6
26,20-24,MALE,111.8
27,20-24,FEMALE,43.6
27,20-24,MALE,116.3
28,20-24,FEMALE,82.7
28,20-24,MALE,251.7
29,20-24,FEMALE,66.5
29,20-24,MALE,165.5
30,20-24,FEMALE,71.0
30,20-24,MALE,110.5
31,20-24,FEMALE,41.2
31,20-24,MALE,96.4
32,20-24,FEMALE,53.5
32,20-24,MALE,138.8
33,20-24,FEMALE,31.9
33,20-24,MALE,96.6
34,20-24,FEMALE,36.4
34,20-24,MALE,96.7
35,20-24,FEMALE,86.1
35,20-24,MALE,231.8
36,20-24,FEMALE,33.8
36,20-24,MALE,88.9
37,20-24,FEMALE,67.7
37,20-24,MALE,167.3
38,20-24,FEMALE,49.2
38,20-24,MALE,103.1
39,20-24,FEMALE,57.1
39,20-24,MALE,132.7
40,20-24,FEMALE,60.3
40,20-24,MALE,129.9
41,20-24,FEMALE,57.2
41,20-24,MALE,151.4
42,20-24,FEMALE,41.3
42,20-24,MALE,130.4
44,20-24,FEMALE,31.9
44,20-24,MALE,72.6
45,20-24,FEMALE,60.1
45,20-24,MALE,197.3
46,20-24,FEMALE,49.2
46,20-24,MALE,121.8
47,20-24,FEMALE,74.1
47,20-24,MALE,217.7
48,20-24,FEMALE,57.7
48,20-24,MALE,144.3
49,20-24,FEMALE,39.4
49,20-24,MALE,98.1
50,20-24,FEMALE,31.9
50,20-24,MALE,107.4
51,20-24,FEMALE,56.8
51,20-24,MALE,141.8
53,20-24,FEMALE,47.5
53,20-24,MALE,134.8
54,20-24,FEMALE,68.8
54,20-24,MALE,178.0
55,20-24,FEMALE,42.0
55,20-24,MALE,114.9
56,20-24,FEMALE,49.2
56,20-24,MALE,167.5
01,25-29,FEMALE,80.3
01,25-29,MALE,281.7
02,25-29,FEMALE,166.2
02,25-29,MALE,191.6
04,25-29,FEMALE,84.0
04,25-29,MALE,233.2
05,25-29,FEMALE,84.8
05,25-29,MALE,210.8
06,25-29,FEMALE,55.5
06,25-29,MALE,167.8
08,25-29,FEMALE,66.0
08,25-29,MALE,187.7
09,25-29,FEMALE,51.0
09,25-29,MALE,131.7
10,25-29,FEMALE,110.1
10,25-29,MALE,248.9
11,25-29,FEMALE,73.3
11,25-29,MALE,210.0
12,25-29,FEMALE,74.7
12,25-29,MALE,178.8
13,25-29,FEMALE,83.6
13,25-29,MALE,197.9
15,25-29,FEMALE,60.4
15,25-29,MALE,125.6
16,25-29,FEMALE,58.4
16,25-29,MALE,155.7
17,25-29,FEMALE,60.8
17,25-29,MALE,179.7
18,25-29,FEMALE,78.3
18,25-29,MALE,208.3
19,25-29,FEMALE,55.7
19,25-29,MALE,131.4
20,25-29,FEMALE,83.2
20,25-29,MALE,168.6
21,25-29,FEMALE,89.1
21,25-29,MALE,216.4
22,25-29,FEMALE,99.9
22,25-29,MALE,275.2
23,25-29,FEMALE,55.8
23,25-29,MALE,181.6
24,25-29,FEMALE,76.2
24,25-29,MALE,209.5
25,25-29,FEMALE,42.4
25,25-29,MALE,113.5
26,25-29,FEMALE,74.4
26,25-29,MALE,162.3
27,25-29,FEMALE,61.6
27,25-29,MALE,154.3
28,25-29,FEMALE,103.7
