ORIGIN_FIPS,DESTINATION_FIPS,AGE_GROUP,MIGRATION_RATE
02,53,55_TO_59,0.0016311313060701387
02,53,5_TO_17,0.002622583153972761
02,53,60_TO_64,0.002354788069073783
02,53,65_TO_74,0.0007762025432048033
02,53,75_AND_OVER,0.0014609870793955166
02,54,0_TO_4,0.0012010263315924516
02,54,18_TO_19,0.0008448296425873652
02,54,20_TO_24,0.0021253637641827157
02,54,25_TO_34,0.0005780448072308151
02,54,35_TO_44,0.00013098148794970312
02,54,45_TO_54,0.0013508949679162446
02,54,55_TO_59,0.0007573109635325644
02,54,5_TO_17,0.0008365135922154497
02,55,18_TO_19,0.0007951337812586967
02,55,25_TO_34,7.882429189511114e-05
02,55,35_TO_44,8.732099196646873e-05
02,55,60_TO_64,0.00017170329670329672
02,56,0_TO_4,5.4592105981475076e-05
02,56,18_TO_19,0.00039756689062934834
02,56,35_TO_44,0.00017464198393293747
02,56,5_TO_17,7.536158488427475e-06
04,01,0_TO_4,4.379545218804384e-05
04,01,18_TO_19,0.00016435006124778948
04,01,20_TO_24,9.617053125855865e-05
04,01,25_TO_34,1.5798269638095496e-05
04,01,35_TO_44,8.879161807125407e-05
04,01,5_TO_17,2.2766850251801364e-05
04,01,60_TO_64,2.376940507820134e-05
04,01,65_TO_74,1.6978591693733373e-05
04,02,0_TO_4,7.376076157986331e-05
04,02,18_TO_19,0.0004766151776185895
04,02,20_TO_24,0.00023624500070037235
04,02,25_TO_34,0.00032386452758095764
04,02,35_TO_44,1.4398640768311471e-05
04,02,45_TO_54,0.0001058736059479554
04,02,55_TO_59,1.491124083890641e-05
04,02,5_TO_17,0.00026308360290970464
04,02,60_TO_64,6.338508020853692e-05
04,02,65_TO_74,4.4144338403706766e-05
04,02,75_AND_OVER,1.8557265401370455e-05
04,05,0_TO_4,5.762559498426821e-05
04,05,18_TO_19,3.28700122495579e-05
04,05,20_TO_24,4.5994601906267186e-05
04,05,35_TO_44,0.0001007904853781803
04,05,45_TO_54,6.304832713754647e-05
04,05,5_TO_17,2.2766850251801364e-05
04,05,60_TO_64,6.866717022591499e-05
04,05,65_TO_74,7.470580345242683e-05
04,05,75_AND_OVER,2.5516239926884374e-05
04,06,0_TO_4,0.0045524220037571885
04,06,18_TO_19,0.009773350308868547
04,06,20_TO_24,0.008590537237856903
04,06,25_TO_34,0.007488379808457265
04,06,35_TO_44,0.005461884398112818
04,06,45_TO_54,0.003898289962825279
04,06,55_TO_59,0.0038843782385351196
04,06,5_TO_17,0.0037101533743676297
04,06,60_TO_64,0.0032854599908091636
04,06,65_TO_74,0.0023430456537352055
04,06,75_AND_OVER,0.003667379574945836
04,08,0_TO_4,0.000968109995735706
04,08,18_TO_19,0.003489699633828063
04,08,20_TO_24,0.0021345676611953996
04,08,25_TO_34,0.0017739199907918658
04,08,35_TO_44,0.0015082576204806266
04,08,45_TO_54,0.0011313011152416356
04,08,55_TO_59,0.00043988160474773907
04,08,5_TO_17,0.0009325976436478633
