"Notes","Age of Mother 9","Age of Mother 9 Code","State of Residence","State of Residence Code",Births,Female Population,Fertility Rate
,"35-39 years","35-39","Illinois","17",117363,2097805,55.95
,"35-39 years","35-39","Indiana","18",47793,1079152,44.29
,"35-39 years","35-39","Iowa","19",22959,489506,46.90
,"35-39 years","35-39","Kansas","20",22365,470877,47.50
,"35-39 years","35-39","Kentucky","21",28762,697187,41.25
,"35-39 years","35-39","Louisiana","22",33543,787950,42.57
,"35-39 years","35-39","Maine","23",10157,215546,47.12
,"35-39 years","35-39","Maryland","24",68522,1085313,63.14
,"35-39 years","35-39","Massachusetts","25",81683,1189349,68.68
,"35-39 years","35-39","Michigan","26",73513,1520415,48.35
,"35-39 years","35-39","Minnesota","27",57154,966515,59.13
,"35-39 years","35-39","Mississippi","28",16224,468579,34.62
,"35-39 years","35-39","Missouri","29",43788,1003671,43.63
,"35-39 years","35-39","Montana","30",8163,176308,46.30
,"35-39 years","35-39","Nebraska","31",17081,317027,53.88
,"35-39 years","35-39","Nevada","32",25965,552858,46.97
,"35-39 years","35-39","New Hampshire","33",11315,216602,52.24
,"35-39 years","35-39","New Jersey","34",113518,1521222,74.62
,"35-39 years","35-39","New Mexico","35",13676,339130,40.33
,"35-39 years","35-39","New York","36",218450,3278429,66.63
,"35-39 years","35-39","North Carolina","37",88853,1754300,50.65
,"35-39 years","35-39","North Dakota","38",6267,123009,50.95
,"35-39 years","35-39","Ohio","39",87383,1859945,46.98
,"35-39 years","35-39","Oklahoma","40",26206,665095,39.40
,"35-39 years","35-39","Oregon","41",36002,743339,48.43
,"35-39 years","35-39","Pennsylvania","42",110817,2069413,53.55
,"35-39 years","35-39","Rhode Island","44",9711,176372,55.06
,"35-39 years","35-39","South Carolina","45",39074,853928,45.76
,"35-39 years","35-39","South Dakota","46",7048,139091,50.67
,"35-39 years","35-39","Tennessee","47",51203,1145970,44.68
,"35-39 years","35-39","Texas","48",270658,5325748,50.82
,"35-39 years","35-39","Utah","49",28771,562705,51.13
,"35-39 years","35-39","Vermont","50",5324,99222,53.66
,"35-39 years","35-39","Virginia","51",86152,1487536,57.92
,"35-39 years","35-39","Washington","53",78278,1409443,55.54
,"35-39 years","35-39","West Virginia","54",8349,250197,33.37
,"35-39 years","35-39","Wisconsin","55",45751,920010,49.73
,"35-39 years","35-39","Wyoming","56",3772,94581,39.88
"Total","35-39 years","35-39",,,2989984,55502273,53.87
,"40-44 years","40-44","Alabama","01",6150,796383,7.72
,"40-44 years","40-44","Alaska","02",1476,113405,13.02
,"40-44 years","40-44","Arizona","04",12050,1121286,10.75
,"40-44 years","40-44","Arkansas","05",3619,475167,7.62
,"40-44 years","40-44","California","06",106082,6423291,16.52
,"40-44 years","40-44","Colorado","08",11932,979031,12.19
,"40-44 years","40-44","Connecticut","09",8122,567715,14.31
,"40-44 years","40-44","Delaware","10",1986,153085,12.97
,"40-44 years","40-44","District of Columbia","11",2849,124867,22.82
,"40-44 years","40-44","Florida","12",44524,3454297,12.89
,"40-44 years","40-44","Georgia","13",20860,1851671,11.27
,"40-44 years","40-44","Hawaii","15",3852,227606,16.92
,"40-44 years","40-44","Idaho","16",3070,306412,10.02
,"40-44 years","40-44","Illinois","17",24830,2051013,12.11
,"40-44 years","40-44","Indiana","18",9736,1066118,9.13
,"40-44 years","40-44","Iowa","19",4492,487772,9.21
,"40-44 years","40-44","Kansas","20",4194,453187,9.25
,"40-44 years","40-44","Kentucky","21",5747,707160,8.13
,"40-44 years","40-44","Louisiana","22",6693,749631,8.93
,"40-44 years","40-44","Maine","23",1990,206584,9.63
,"40-44 years","40-44","Maryland","24",16137,1034840,15.59
,"40-44 years","40-44","Massachusetts","25",17134,1094672,15.65
,"40-44 years","40-44","Michigan","26",14185,1498981,9.46
,"40-44 years","40-44","Minnesota","27",11067,917736,12.06
,"40-44 years","40-44","Mississippi","28",3263,473063,6.90
,"40-44 years","40-44","Missouri","29",8417,968521,8.69
,"40-44 years","40-44","Montana","30",1570,170918,9.19
,"40-44 years","40-44","Nebraska","31",3306,306597,10.78
,"40-44 years","40-44","Nevada","32",6016,521334,11.54
,"40-44 years","40-44","New Hampshire","33",2129,203629,10.46
,"40-44 years","40-44","New Jersey","34",26186,1507443,17.37
,"40-44 years","40-44","New Mexico","35",2897,320715,9.03
,"40-44 years","40-44","New York","36",55896,3071101,18.20
,"40-44 years","40-44","North Carolina","37",18879,1718089,10.99
,"40-44 years","40-44","North Dakota","38",1120,110619,10.12
,"40-44 years","40-44","Ohio","39",16265,1800029,9.04
,"40-44 years","40-44","Oklahoma","40",5136,637252,8.06
,"40-44 years","40-44","Oregon","41",7965,716807,11.11
,"40-44 years","40-44","Pennsylvania","42",21686,1949346,11.12
,"40-44 years","40-44","Rhode Island","44",2097,164468,12.75
,"40-44 years","40-44","South Carolina","45",8179,830261,9.85
,"40-44 years","40-44","South Dakota","46",1265,133349,9.49
,"40-44 years","40-44","Tennessee","47",10378,1116326,9.30
,"40-44 years","40-44","Texas","48",58852,5081641,11.58
,"40-44 years","40-44","Utah","49",6320,570670,11.07
,"40-44 years","40-44","Vermont","50",1046,97217,10.76
,"40-44 years","40-44","Virginia","51",19304,1431670,13.48
,"40-44 years","40-44","Washington","53",16796,1291631,13.00
,"40-44 years","40-44","West Virginia","54",1669,269814,6.19
,"40-44 years","40-44","Wisconsin","55",8724,905189,9.64
,"40-44 years","40-44","Wyoming","56",727,91592,7.94
"Total","40-44 years","40-44",,,658865,53321201,12.36
,"45-49 years","45-49","Alabama","01",317,Not Available,Not Available
,"45-49 years","45-49","Alaska","02",78,Not Available,Not Available
,"45-49 years","45-49","Arizona","04",732,Not Available,Not Available
,"45-49 years","45-49","Arkansas","05",149,Not Available,Not Available
,"45-49 years","45-49","California","06",8850,Not Available,Not Available
,"45-49 years","45-49","Colorado","08",780,Not Available,Not Available
,"45-49 years","45-49","Connecticut","09",581,Not Available,Not Available
,"45-49 years","45-49","Delaware","10",109,Not Available,Not Available
,"45-49 years","45-49","District of Columbia","11",238,Not Available,Not Available
,"45-49 years","45-49","Florida","12",3040,Not Available,Not Available
,"45-49 years","45-49","Georgia","13",1379,Not Available,Not Available
,"45-49 years","45-49","Hawaii","15",270,Not Available,Not Available
,"45-49 years","45-49","Idaho","16",174,Not Available,Not Available
,"45-49 years","45-49","Illinois","17",1649,Not Available,Not Available
,"45-49 years","45-49","Indiana","18",580,Not Available,Not Available
,"45-49 years","45-49","Iowa","19",240,Not Available,Not Available
,"45-49 years","45-49","Kansas","20",249,Not Available,Not Available
,"45-49 years","45-49","Kentucky","21",301,Not Available,Not Available
,"45-49 years","45-49","Louisiana","22",304,Not Available,Not Available
,"45-49 years","45-49","Maine","23",107,Not Available,Not Available
,"45-49 years","45-49","Maryland","24",1293,Not Available,Not Available
,"45-49 years","45-49","Massachusetts","25",1177,Not Available,Not Available
,"45-49 years","45-49","Michigan","26",914,Not Available,Not Available
,"45-49 years","45-49","Minnesota","27",755,Not Available,Not Available
,"45-49 years","45-49","Mississippi","28",158,Not Available,Not Available
,"45-49 years","45-49","Missouri","29",463,Not Available,Not Available
,"45-49 years","45-49","Montana","30",81,Not Available,Not Available
,"45-49 years","45-49","Nebraska","31",183,Not Available,Not Available
,"45-49 years","45-49","Nevada","32",365,Not Available,Not Available
,"45-49 years","45-49","New Hampshire","33",124,Not Available,Not Available
,"45-49 years","45-49","New Jersey","34",1942,Not Available,Not Available
,"45-49 years","45-49","New Mexico","35",167,Not Available,Not Available
,"45-49 years","45-49","New York","36",4576,Not Available,Not Available
,"45-49 years","45-49","North Carolina","37",1165,Not Available,Not Available
,"45-49 years","45-49","North Dakota","38",58,Not Available,Not Available
,"45-49 years","45-49","Ohio","39",950,Not Available,Not Available
,"45-49 years","45-49","Oklahoma","40",230,Not Available,Not Available
,"45-49 years","45-49","Oregon","41",500,Not Available,Not Available
,"45-49 years","45-49","Pennsylvania","42",1351,Not Available,Not Available
,"45-49 years","45-49","Rhode Island","44",129,Not Available,Not Available
,"45-49 years","45-49","South Carolina","45",482,Not Available,Not Available
,"45-49 years","45-49","South Dakota","46",66,Not Available,Not Available
,"45-49 years","45-49","Tennessee","47",536,Not Available,Not Available
,"45-49 years","45-49","Texas","48",3674,Not Available,Not Available
,"45-49 years","45-49","Utah","49",387,Not Available,Not Available
,"45-49 years","45-49","Vermont","50",75,Not Available,Not Available
,"45-49 years","45-49","Virginia","51",1398,Not Available,Not Available
,"45-49 years","45-49","Washington","53",1168,Not Available,Not Available
,"45-49 years","45-49","West Virginia","54",110,Not Available,Not Available
,"45-49 years","45-49","Wisconsin","55",457,Not Available,Not Available
,"45-49 years","45-49","Wyoming","56",39,Not Available,Not Available
"Total","45-49 years","45-49",,,45100,Not Available,Not Available
"Total",,,,,18156017,328546577,55.26
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Age of Mother 9: 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44 years; 45-49 years"
"Year: 2020; 2021; 2022; 2023; 2024"
