year,age,sex,immigration_status,migration_flow,number_of_people
2021,28,male,INA Nonimmigrant,immigration,3344.0
2021,28,male,LPR+,emigration,462.0
2021,28,male,LPR+,immigration,10479.0
2021,28,male,OFN,emigration,4203.0
2021,28,male,OFN,immigration,16670.0
2021,29,female,INA Nonimmigrant,emigration,1202.0
2021,29,female,INA Nonimmigrant,immigration,2173.0
2021,29,female,LPR+,emigration,798.0
2021,29,female,LPR+,immigration,6915.0
2021,29,female,OFN,emigration,3239.0
2021,29,female,OFN,immigration,13917.0
2021,29,male,INA Nonimmigrant,emigration,1601.0
2021,29,male,INA Nonimmigrant,immigration,3345.0
2021,29,male,LPR+,emigration,493.0
2021,29,male,LPR+,immigration,11111.0
2021,29,male,OFN,emigration,4483.0
2021,29,male,OFN,immigration,16732.0
2021,30,female,INA Nonimmigrant,emigration,1412.0
2021,30,female,INA Nonimmigrant,immigration,2100.0
2021,30,female,LPR+,emigration,937.0
2021,30,female,LPR+,immigration,7336.0
2021,30,female,OFN,emigration,3804.0
2021,30,female,OFN,immigration,13872.0
2021,30,male,INA Nonimmigrant,emigration,1978.0
2021,30,male,INA Nonimmigrant,immigration,3330.0
2021,30,male,LPR+,emigration,609.0
2021,30,male,LPR+,immigration,11681.0
2021,30,male,OFN,emigration,5540.0
2021,30,male,OFN,immigration,16749.0
2021,31,female,INA Nonimmigrant,emigration,1311.0
2021,31,female,INA Nonimmigrant,immigration,2017.0
2021,31,female,LPR+,emigration,870.0
2021,31,female,LPR+,immigration,7708.0
2021,31,female,OFN,emigration,3532.0
2021,31,female,OFN,immigration,13678.0
2021,31,male,INA Nonimmigrant,emigration,1653.0
2021,31,male,INA Nonimmigrant,immigration,3296.0
2021,31,male,LPR+,emigration,509.0
2021,31,male,LPR+,immigration,12193.0
2021,31,male,OFN,emigration,4631.0
2021,31,male,OFN,immigration,16688.0
2021,32,female,INA Nonimmigrant,emigration,1357.0
2021,32,female,INA Nonimmigrant,immigration,1923.0
2021,32,female,LPR+,emigration,901.0
2021,32,female,LPR+,immigration,8040.0
2021,32,female,OFN,emigration,3655.0
2021,32,female,OFN,immigration,13370.0
2021,32,male,INA Nonimmigrant,emigration,1762.0
2021,32,male,INA Nonimmigrant,immigration,3245.0
2021,32,male,LPR+,emigration,542.0
2021,32,male,LPR+,immigration,12649.0
2021,32,male,OFN,emigration,4935.0
2021,32,male,OFN,immigration,16485.0
2021,33,female,INA Nonimmigrant,emigration,1380.0
2021,33,female,INA Nonimmigrant,immigration,1818.0
2021,33,female,LPR+,emigration,916.0
2021,33,female,LPR+,immigration,8341.0
