GEOID,SEX,2029,AGE_GROUP,2034,2039,2044,2049,2054,2059,2064,2069,2074,2079,2084,2089,2094
35,FEMALE,50477.21061263533,0-4,49470.41894082298,48548.8405774493,46870.469223924774,43976.88725626433,40847.00177059386,38412.82469548761,36995.53608448588,36216.785509565285,35444.01413122254,34307.063064949005,32874.478179700214,31473.41704080945,30388.228680259937
35,MALE,53001.07115361492,0-4,51943.93989800555,50976.28261627427,49213.99269472945,46175.73162809279,42889.35186749718,40333.46593813661,38845.31289629425,38027.62479246798,37216.21484504968,36022.4162252294,34518.20209542449,33047.087899301965,31907.640120502514
36,FEMALE,503681.1538008054,0-4,510405.83253381297,508415.675687617,501825.36862410733,491382.7128218128,480964.80088144745,473661.1815745171,470051.5775921843,469665.2813081447,469703.37875116064,467135.95865559304,461981.823988752,456095.58436222695,451187.8597772271
36,MALE,528865.2115941002,0-4,535926.1242651367,533836.4595762229,526916.6371581868,515951.84856363677,505013.0410241175,497344.24075034336,493554.156568154,493148.54546983325,493188.54778500774,490492.7566841355,485080.91528289573,478900.3636738378,473747.25285858184
37,FEMALE,296573.918021097,0-4,291398.7190824437,286232.7915877372,279744.8480649454,268870.3006994931,258161.84920943345,249901.3233363629,243886.4776635036,239657.76289854298,235746.57541916365,230627.80370674236,224188.08871002062,217629.62397163533,212109.48841140044
37,MALE,311402.61398294946,0-4,305968.65509630257,300544.43122580176,293732.09052554035,282313.8157895861,271069.9417228282,262396.3895544108,256080.80159667548,251640.6510925999,247533.90423844982,242159.1939393581,235397.49319148017,228511.1052148311,222714.96287545285
38,FEMALE,23865.60782247373,0-4,25824.25670921866,27710.750805791627,28282.199856166593,27714.296632519494,26790.095264562493,25956.05175477794,25833.42255796547,26449.85131579908,27094.214403811096,27172.862717504657,26661.39538315715,25904.38156298453,25308.422389530344
38,MALE,25058.88821848986,0-4,27115.469549973557,29096.288351761905,29696.309854772768,29100.01146982689,28129.600033282582,27253.85434783782,27125.093691159593,27772.343887011244,28448.925129555962,28531.50585895032,27994.465157780585,27199.60064644415,26573.84351419508
39,FEMALE,302928.14016604744,0-4,293980.63974075293,287537.27385579277,282417.64263669075,273371.1518061214,261005.04594784373,247367.52462161682,236129.6791671324,229199.96772371518,224473.26488495653,219201.9692060374,212167.72263003033,203926.4286644461,195950.42154004832
39,MALE,318074.54723645,0-4,308679.67178805656,301914.13760752743,296538.5248264209,287039.70945246855,274055.29829874187,259735.90090340798,247936.16317389553,240659.96615688686,235696.9281752213,230162.06771127565,222776.1088050262,214122.75013947327,205747.94265722053
40,FEMALE,115062.45186503448,0-4,114979.46997162266,115768.17763007115,115053.23768031341,111441.81169315754,106397.67112376427,102101.3588201054,99845.20357784297,99279.14262078333,98849.39516044404,97358.0442761106,94799.53376868271,92034.57361613192,89935.81004434952
40,MALE,120815.57448187399,0-4,120728.44349377455,121556.58653530716,120805.89958791497,117013.90230066098,111717.55470176399,107206.42678204142,104837.46377720336,104243.0997721747,103791.86493873033,102225.94650987451,99539.51047655073,96636.30231580557,94432.60056500381
41,FEMALE,95793.5096622434,0-4,92645.40837030427,89554.48187962956,86777.54219329348,83109.85721581333,78645.2153297708,74572.94209620333,71819.7848149068,70222.34968761621,68981.99718373509,67504.59842843244,65633.68753477336,63562.317491648566,61711.56249321242
41,MALE,100583.18516499322,0-4,97277.67880781178,94032.20599196968,91116.41932074753,87265.35009364151,82577.47611238158,78301.58921630094,75410.77407037518,73733.46718639258,72431.09705706313,70879.82836369249,68915.37192496692,66740.43337926126,64797.140630523914
42,FEMALE,308569.6324284481,0-4,303226.80778274755,302395.70878066187,301205.7471664076,290347.38338385255,276058.7303516943,262507.0037442982,252608.48528144928,247618.38498670224,245035.9437553341,241306.99484589286,234786.7750410275,226660.53480880943,219018.84820306787
42,MALE,323998.11411312723,0-4,318388.14823404636,317515.494281686,316266.03458647506,304864.75261256634,289861.66692587093,275632.353985327,265238.9095973064,259999.30428679904,257287.74099333314,253372.34463765536,246526.1138412101,237993.56159571523,229969.79065812007
